LV,HP,ATT,Money,Energy,Blood,effect,PTS,EN_name,ZH_name
1,4,1,3,1,0,無,2,Lithic Golemite,石蟻獸
1,4,1,0,3,0,血減半時，攻擊力+1,3,Magma Hermit,熔岩寄居蟹
1,4,2,2,1,0,偷走玩家2金幣,4,Mag-Sprite,磁吸小精靈
1,3,2,0,1,1,死亡時，玩家及在森林裡的玩家-1血(不會導致玩家血歸零),3,Toxic Pufferpod,毒素河豚怪
1,3,1,0,0,1,玩家受傷無法獲得經驗,2,Glitchwing Influx,霧化干擾蟲
1,3,2,0,0,1,玩家無法一次給予怪獸超過2點傷害,4,Silica Shield-Beast,硬化硅晶獸
1,3,1,1,1,0,玩家防禦力1以上先攻,2,Clumsy Monument,笨重石偶
1,3,2,0,2,1,這回合其他怪獸+1血,2,Spore Jelly,發光孢子水母
1,3,3,2,1,0,不在森林的玩家-1血(不會導致玩家血歸零),4,Kite Seeker,追獵風箏幼體
1,2,3,0,1,1,每次玩家攻擊-1體力,3,Tar Sludge,黏滯泥魔
1,2,3,0,2,0,遭受攻擊後若沒有死亡+1血,4,Mitotic Coagulant,細胞分裂體
1,2,3,3,0,0,不怕手榴彈,3,Aegis Beetle,防爆盾甲蟲
2,7,2,3,1,0,不在森林的玩家-1血(不會導致玩家血歸零),7,Arclight Sentinel,異星長弓哨兵
2,7,2,0,3,0,玩家無法一次給予怪獸超過4點傷害,8,Prism Refractor,折射晶稜獸
2,7,2,2,1,0,不怕手榴彈、炸彈、炸藥,8,Alloy Armadillo,重裝合金犰狳
2,7,3,2,2,1,這回合其他怪獸+1血,6,Totem Automaton,微光圖騰傀儡
2,6,2,1,2,0,玩家防禦力3以上先攻,6,Mantis Shredder,破甲螳螂
2,6,3,2,0,1,玩家防禦力2以上先攻,7,Spark-Hound,電弧獵犬
2,6,4,3,1,0,每次玩家攻擊-1體力,8,Kinetic Ooze,力場軟泥怪
2,6,3,0,3,1,需要+1體力收服,6,Hypno-Siren Angler,迷幻催眠釣手
2,5,4,2,1,0,玩家防禦力2以上先攻,8,Void-Skiff Serpent,迅捷虚空蛇
2,5,4,2,0,1,玩家受傷最多獲得3經驗,7,Mnemonic Devourer,記憶吞噬者
2,5,4,0,2,1,不在森林的玩家-2經驗,7,Echo Resonance Spire,回音干擾塔
2,5,3,2,2,0,血減半時，攻擊力+1,6,Binary Berserker,雙子狂暴者
3,13,3,0,0,3,不在森林的玩家-2血,15,Void-Cannon Colossus,虛空巨砲石像
3,12,3,1,3,0,血減半時，攻擊力+1,15,Doom-Forge Titan,末日熔岩泰坦
3,12,4,0,1,2,玩家防禦力3以上先攻,16,Nightmare-Blade Stalker,夢靨追獵巨刃
3,11,3,2,2,0,不在森林的玩家-2分,14,Fate Depriver,命運剝奪者
3,11,5,2,1,1,每次玩家攻擊-1體力,16,Gravitational Singularity,重力畸變怪
3,11,4,1,3,0,玩家無法一次給予怪獸超過6點傷害,15,Shrine Warden,神廟守護者
3,11,4,2,2,0,死亡時，玩家及在森林裡的玩家-1血(不會導致玩家血歸零),15,Unstable Core,動盪核心
3,11,5,1,0,2,玩家防禦力4以上先攻,16,Hell Executioner,地獄斬首者
3,10,4,3,1,0,這回合其他怪獸+1血,14,Void Matriarch,虛空航母
3,10,4,4,0,0,玩家受傷最多獲得4經驗,14,Cognitive Suppressor,認知抑止裝置
3,10,4,0,4,0,玩家防禦力3以上先攻,14,Rift Predator,裂隙掠奪者
3,10,5,2,1,0,不怕手榴彈、炸彈、炸藥,16,Ironclad Dreadnought,鋼鐵移動要塞
